,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls
0,A & N ISLANDS,ANDAMAN,2001,3,2,0,18,1,9,0
1,A & N ISLANDS,NICOBAR,2001,0,0,0,1,0,0,0
2,A & N ISLANDS,ANDAMAN,2002,1,1,0,16,3,4,0
3,A & N ISLANDS,NICOBAR,2002,1,0,0,1,0,0,0
4,A & N ISLANDS,ANDAMAN,2003,2,2,0,9,2,7,0
5,A & N ISLANDS,NICOBAR,2003,0,0,0,0,0,0,0
6,A & N ISLANDS,ANDAMAN,2004,10,3,0,5,3,5,0
7,A & N ISLANDS,NICOBAR,2004,0,0,0,1,0,0,0
8,A & N ISLANDS,ANDAMAN,2005,4,1,0,10,1,5,0
9,A & N ISLANDS,NICOBAR,2005,0,0,0,1,0,0,0
10,A & N ISLANDS,ANDAMAN,2006,6,5,0,12,4,7,0
11,A & N ISLANDS,NICOBAR,2006,0,0,0,2,0,0,0
12,A & N ISLANDS,A and N ISLANDS,2007,3,9,1,21,2,18,0
13,A & N ISLANDS,ANDAMAN,2008,12,13,2,24,3,25,0
14,A & N ISLANDS,NICOBAR,2008,0,0,0,0,0,1,0
15,A & N ISLANDS,ANDAMAN,2009,18,14,1,29,7,21,0
16,A & N ISLANDS,NICOBAR,2009,0,0,0,1,0,0,0
17,A & N ISLANDS,ANDAMAN,2010,23,8,0,31,10,9,0
18,A & N ISLANDS,NICOBAR,2010,1,0,0,0,0,0,0
19,A & N ISLANDS,ANDAMAN,2011,13,12,0,14,3,5,0
20,A & N ISLANDS,NICOBAR,2011,0,0,0,1,0,0,0
21,A & N ISLANDS,CAR,2012,0,1,0,1,0,0,0
22,A & N ISLANDS,NORTH,2012,4,0,0,2,1,2,0
23,A & N ISLANDS,SOUTH,2012,8,6,2,14,3,3,0
24,A & N Islands,South Andaman,2014,19,9,3,27,4,10,0
25,A & N Islands,North & Middle Andaman,2014,11,8,0,14,1,4,0
26,A & N Islands,Nicobar,2014,2,0,0,0,0,0,0
27,A&N Islands,CAR,2013,1,0,0,2,2,0,0
28,A&N Islands,NORTH,2013,5,5,0,10,1,5,0
29,A&N Islands,SOUTH,2013,21,7,1,33,5,4,0
30,ANDHRA PRADESH,ADILABAD,2002,37,32,20,174,63,240,0
31,ANDHRA PRADESH,ANANTAPUR,2002,28,49,9,179,37,151,0
32,ANDHRA PRADESH,CHITTOOR,2002,28,39,16,126,40,188,0
33,ANDHRA PRADESH,CUDDAPAH,2002,16,22,21,100,36,63,0
34,ANDHRA PRADESH,EAST GODAVARI,2002,25,5,11,108,73,276,0
35,ANDHRA PRADESH,GUNTAKAL RLY.,2002,1,0,0,3,0,0,0
36,ANDHRA PRADESH,GUNTUR,2002,46,71,13,186,85,434,0
37,ANDHRA PRADESH,HYDERABAD CITY,2002,57,61,24,138,123,590,0
38,ANDHRA PRADESH,KARIMNAGAR,2002,99,42,45,357,125,209,0
39,ANDHRA PRADESH,KHAMMAM,2002,48,55,13,191,375,324,0
40,ANDHRA PRADESH,KRISHNA,2002,41,21,14,211,110,374,0
41,ANDHRA PRADESH,KURNOOL,2002,45,24,11,166,115,167,0
42,ANDHRA PRADESH,MAHABOOBNAGAR,2002,85,36,31,202,42,225,0
43,ANDHRA PRADESH,MEDAK,2002,68,38,25,103,28,251,0
44,ANDHRA PRADESH,NALGONDA,2002,41,37,37,232,67,210,0
45,ANDHRA PRADESH,NELLORE,2002,46,54,10,206,226,289,0
46,ANDHRA PRADESH,NIZAMABAD,2002,35,21,17,71,24,278,0
47,ANDHRA PRADESH,PRAKASHAM,2002,21,25,5,156,18,142,0
48,ANDHRA PRADESH,RANGA REDDY,2002,49,70,51,143,93,508,0
49,ANDHRA PRADESH,SECUNDERABAD RLY.,2002,0,0,0,0,0,0,0
50,ANDHRA PRADESH,SRIKAKULAM,2002,14,9,4,60,16,114,0
51,ANDHRA PRADESH,VIJAYAWADA,2002,31,43,9,119,171,869,0
52,ANDHRA PRADESH,VIJAYAWADA RLY.,2002,1,0,0,2,0,2,0
53,ANDHRA PRADESH,VISAKHA RURAL,2002,14,0,2,65,41,85,0
54,ANDHRA PRADESH,VISAKHAPATNAM,2002,8,10,3,28,18,235,0
55,ANDHRA PRADESH,VIZIANAGARAM,2002,12,0,1,38,25,190,0
56,ANDHRA PRADESH,WARANGAL,2002,52,58,45,212,0,157,0
57,ANDHRA PRADESH,WEST GODAVARI,2002,54,32,12,223,73,447,0
58,ANDHRA PRADESH,ADILABAD,2003,35,16,11,141,39,238,0
59,ANDHRA PRADESH,ANANTAPUR,2003,19,45,4,224,45,146,0
60,ANDHRA PRADESH,CHITTOOR,2003,36,34,23,121,173,60,0
61,ANDHRA PRADESH,CUDDAPAH,2003,10,28,5,104,31,60,0
62,ANDHRA PRADESH,CYBERABAD,2003,31,62,25,96,78,543,1
63,ANDHRA PRADESH,EAST GODAVARI,2003,18,35,11,150,110,357,0
64,ANDHRA PRADESH,GUNTAKAL RLY.,2003,1,1,0,2,0,0,0
65,ANDHRA PRADESH,GUNTUR,2003,46,77,22,228,99,399,0
66,ANDHRA PRADESH,HYDERABAD CITY,2003,57,64,42,165,296,1082,0
67,ANDHRA PRADESH,KARIMNAGAR,2003,88,67,53,362,132,602,1
68,ANDHRA PRADESH,KHAMMAM,2003,45,35,17,162,246,180,0
69,ANDHRA PRADESH,KRISHNA,2003,45,16,20,186,107,317,0
70,ANDHRA PRADESH,KURNOOL,2003,28,16,11,231,131,202,0
71,ANDHRA PRADESH,MAHABOOBNAGAR,2003,69,33,19,179,36,238,0
72,ANDHRA PRADESH,MEDAK,2003,30,37,44,128,37,174,0
73,ANDHRA PRADESH,NALGONDA,2003,62,37,33,249,51,319,0
74,ANDHRA PRADESH,NELLORE,2003,27,58,10,204,97,231,0
75,ANDHRA PRADESH,NIZAMABAD,2003,29,7,11,61,32,329,3
76,ANDHRA PRADESH,PRAKASHAM,2003,22,31,13,133,149,114,0
77,ANDHRA PRADESH,RANGA REDDY,2003,14,14,12,71,12,113,0
78,ANDHRA PRADESH,SECUNDERABAD RLY.,2003,0,0,0,0,0,0,0
79,ANDHRA PRADESH,SRIKAKULAM,2003,9,4,7,58,44,147,0
80,ANDHRA PRADESH,VIJAYAWADA,2003,27,45,7,170,146,1208,0
81,ANDHRA PRADESH,VIJAYAWADA RLY.,2003,0,0,0,0,3,0,0
82,ANDHRA PRADESH,VISAKHA RURAL,2003,15,15,3,54,16,89,0
83,ANDHRA PRADESH,VISAKHAPATNAM,2003,9,20,3,11,30,146,0
84,ANDHRA PRADESH,VIZIANAGARAM,2003,6,0,4,34,25,127,0
85,ANDHRA PRADESH,WARANGAL,2003,61,69,35,222,0,162,0
86,ANDHRA PRADESH,WEST GODAVARI,2003,107,65,21,382,121,584,0
87,ANDHRA PRADESH,ADILABAD,2004,50,42,14,135,71,296,0
88,ANDHRA PRADESH,ANANTAPUR,2004,20,31,11,196,50,147,0
89,ANDHRA PRADESH,CHITTOOR,2004,28,27,22,116,197,234,0
90,ANDHRA PRADESH,CUDDAPAH,2004,14,31,7,118,49,120,0
91,ANDHRA PRADESH,CYBERABAD,2004,40,69,43,106,85,517,0
92,ANDHRA PRADESH,EAST GODAVARI,2004,31,23,13,112,105,293,0
93,ANDHRA PRADESH,GUNTAKAL RLY.,2004,0,0,0,1,0,0,0
94,ANDHRA PRADESH,GUNTUR,2004,46,60,32,186,104,397,0
95,ANDHRA PRADESH,HYDERABAD CITY,2004,56,62,29,144,206,1142,2
96,ANDHRA PRADESH,KARIMNAGAR,2004,85,98,61,370,155,717,0
97,ANDHRA PRADESH,KHAMMAM,2004,43,46,18,176,310,400,0
98,ANDHRA PRADESH,KRISHNA,2004,33,13,13,182,108,362,0
99,ANDHRA PRADESH,KURNOOL,2004,29,32,6,242,157,230,0
100,ANDHRA PRADESH,MAHABOOBNAGAR,2004,56,52,21,164,10,251,0
101,ANDHRA PRADESH,MEDAK,2004,52,32,41,86,54,229,0
102,ANDHRA PRADESH,NALGONDA,2004,46,57,34,200,66,272,0
103,ANDHRA PRADESH,NELLORE,2004,107,55,11,173,88,142,0
104,ANDHRA PRADESH,NIZAMABAD,2004,24,19,17,74,46,339,0
105,ANDHRA PRADESH,PRAKASHAM,2004,19,37,6,130,24,146,0
106,ANDHRA PRADESH,RANGA REDDY,2004,25,22,17,49,15,136,0
107,ANDHRA PRADESH,SECUNDERABAD RLY.,2004,0,0,2,1,0,2,0
108,ANDHRA PRADESH,SRIKAKULAM,2004,15,13,14,58,11,165,0
109,ANDHRA PRADESH,VIJAYAWADA,2004,19,43,10,132,196,678,0
110,ANDHRA PRADESH,VIJAYAWADA RLY.,2004,0,0,0,6,0,1,0
111,ANDHRA PRADESH,VISAKHA RURAL,2004,18,12,3,54,30,94,0
112,ANDHRA PRADESH,VISAKHAPATNAM,2004,12,16,1,24,43,243,0
113,ANDHRA PRADESH,VIZIANAGARAM,2004,14,7,6,53,26,155,0
114,ANDHRA PRADESH,WARANGAL,2004,53,88,43,228,0,162,0
115,ANDHRA PRADESH,WEST GODAVARI,2004,81,43,17,301,104,518,0
116,ANDHRA PRADESH,ADILABAD,2005,53,46,21,144,77,280,0
117,ANDHRA PRADESH,ANANTAPUR,2005,16,30,12,173,57,137,0
118,ANDHRA PRADESH,CHITTOOR,2005,35,58,9,91,223,202,0
119,ANDHRA PRADESH,CUDDAPAH,2005,21,31,7,116,18,95,0
120,ANDHRA PRADESH,CYBERABAD,2005,44,58,34,119,96,701,3
121,ANDHRA PRADESH,EAST GODAVARI,2005,27,3,15,102,119,368,0
122,ANDHRA PRADESH,GUNTAKAL RLY.,2005,0,1,4,1,0,0,0
123,ANDHRA PRADESH,GUNTUR,2005,55,56,16,166,203,366,0
124,ANDHRA PRADESH,HYDERABAD CITY,2005,67,70,27,119,348,1309,0
125,ANDHRA PRADESH,KARIMNAGAR,2005,84,91,52,328,143,839,0
126,ANDHRA PRADESH,KHAMMAM,2005,21,40,14,150,240,313,0
127,ANDHRA PRADESH,KRISHNA,2005,27,26,11,209,104,337,0
128,ANDHRA PRADESH,KURNOOL,2005,29,30,9,221,124,233,0
129,ANDHRA PRADESH,MAHABOOBNAGAR,2005,62,47,17,140,7,237,0
130,ANDHRA PRADESH,MEDAK,2005,36,27,28,88,35,209,0
131,ANDHRA PRADESH,NALGONDA,2005,49,31,30,223,95,344,0
132,ANDHRA PRADESH,NELLORE,2005,33,65,11,205,84,166,0
133,ANDHRA PRADESH,NIZAMABAD,2005,26,32,16,88,41,410,0
134,ANDHRA PRADESH,PRAKASHAM,2005,27,43,7,169,27,156,0
135,ANDHRA PRADESH,RANGA REDDY,2005,15,14,22,45,13,119,0
136,ANDHRA PRADESH,SECUNDERABAD RLY.,2005,0,0,2,1,1,0,0
137,ANDHRA PRADESH,SRIKAKULAM,2005,15,16,9,51,40,137,0
138,ANDHRA PRADESH,VIJAYAWADA,2005,32,49,8,64,122,296,0
139,ANDHRA PRADESH,VIJAYAWADA RLY.,2005,0,0,0,2,0,0,0
140,ANDHRA PRADESH,VISAKHA RURAL,2005,18,8,7,36,9,153,0
141,ANDHRA PRADESH,VISAKHAPATNAM,2005,28,15,2,45,86,361,0
142,ANDHRA PRADESH,VIZIANAGARAM,2005,12,9,7,41,28,186,0
143,ANDHRA PRADESH,WARANGAL,2005,34,64,29,226,50,332,0
144,ANDHRA PRADESH,WEST GODAVARI,2005,69,35,17,232,118,410,0
145,ANDHRA PRADESH,ADILABAD,2006,64,71,22,185,107,423,0
146,ANDHRA PRADESH,ANANTAPUR,2006,16,32,16,187,11,189,0
147,ANDHRA PRADESH,CHITTOOR,2006,31,37,18,123,190,249,0
148,ANDHRA PRADESH,CUDDAPAH,2006,25,51,10,130,84,199,0
149,ANDHRA PRADESH,CYBERABAD,2006,60,90,50,132,93,837,0
150,ANDHRA PRADESH,EAST GODAVARI,2006,41,28,25,173,107,465,0
151,ANDHRA PRADESH,GUNTAKAL RLY.,2006,0,1,0,2,1,3,0
152,ANDHRA PRADESH,GUNTUR,2006,47,35,15,281,236,427,0
153,ANDHRA PRADESH,HYDERABAD CITY,2006,93,77,29,189,108,1160,0
154,ANDHRA PRADESH,KARIMNAGAR,2006,73,119,47,371,195,698,0
155,ANDHRA PRADESH,KHAMMAM,2006,44,58,17,171,129,327,0
156,ANDHRA PRADESH,KRISHNA,2006,36,38,9,168,74,296,0
157,ANDHRA PRADESH,KURNOOL,2006,35,70,9,341,157,157,0
158,ANDHRA PRADESH,MAHABOOBNAGAR,2006,67,62,33,201,9,287,0
159,ANDHRA PRADESH,MEDAK,2006,57,39,33,107,59,276,0
160,ANDHRA PRADESH,NALGONDA,2006,61,71,40,246,126,395,0
161,ANDHRA PRADESH,NELLORE,2006,35,49,10,192,137,294,0
162,ANDHRA PRADESH,NIZAMABAD,2006,36,46,18,115,64,431,0
163,ANDHRA PRADESH,PRAKASHAM,2006,23,68,8,200,68,249,0
164,ANDHRA PRADESH,RANGA REDDY,2006,9,10,15,50,9,67,0
165,ANDHRA PRADESH,SECUNDERABAD RLY.,2006,2,1,2,0,0,1,0
166,ANDHRA PRADESH,SRIKAKULAM,2006,27,21,3,70,25,188,0
167,ANDHRA PRADESH,VIJAYAWADA CITY,2006,21,60,8,135,158,336,0
168,ANDHRA PRADESH,VIJAYAWADA RLY.,2006,0,0,0,5,1,0,0
169,ANDHRA PRADESH,VISAKHA RURAL,2006,6,11,4,45,38,158,0
170,ANDHRA PRADESH,VISAKHAPATNAM,2006,21,40,10,62,30,397,0
171,ANDHRA PRADESH,VIZIANAGARAM,2006,16,16,5,69,22,171,0
172,ANDHRA PRADESH,WARANGAL,2006,50,78,40,230,56,480,0
173,ANDHRA PRADESH,WEST GODAVARI,2006,53,50,23,354,117,4,0
174,ANDHRA PRADESH,ADILABAD,2007,46,72,21,156,133,335,0
175,ANDHRA PRADESH,ANANTAPUR,2007,31,35,14,176,194,0,0
176,ANDHRA PRADESH,CHITTOOR,2007,31,47,25,118,197,395,0
177,ANDHRA PRADESH,CUDDAPAH,2007,32,68,8,139,94,242,0
178,ANDHRA PRADESH,CYBERABAD,2007,45,100,41,118,55,881,0
179,ANDHRA PRADESH,EAST GODAVARI,2007,30,64,19,159,131,561,0
180,ANDHRA PRADESH,GUNTAKAL RLY.,2007,0,1,0,0,4,3,0
181,ANDHRA PRADESH,GUNTUR,2007,43,79,28,292,214,569,0
182,ANDHRA PRADESH,HYDERABAD CITY,2007,58,74,41,216,128,1365,0
183,ANDHRA PRADESH,KARIMNAGAR,2007,73,135,61,315,278,687,0
184,ANDHRA PRADESH,KHAMMAM,2007,81,73,28,176,272,422,0
185,ANDHRA PRADESH,KRISHNA,2007,27,47,13,161,150,348,0
186,ANDHRA PRADESH,KURNOOL,2007,36,64,7,327,219,364,0
187,ANDHRA PRADESH,MAHABOOBNAGAR,2007,87,75,27,132,21,218,0
188,ANDHRA PRADESH,MEDAK,2007,51,56,49,115,96,346,0
189,ANDHRA PRADESH,NALGONDA,2007,69,75,36,233,112,429,0
190,ANDHRA PRADESH,NELLORE,2007,44,65,14,203,123,331,0
191,ANDHRA PRADESH,NIZAMABAD,2007,23,48,25,88,59,455,0
192,ANDHRA PRADESH,PRAKASHAM,2007,40,65,7,171,266,261,0
193,ANDHRA PRADESH,RANGA REDDY,2007,21,10,25,40,10,93,0
194,ANDHRA PRADESH,SECUNDERABAD RLY.,2007,0,0,0,2,0,0,0
195,ANDHRA PRADESH,SRIKAKULAM,2007,30,19,12,99,57,345,0
196,ANDHRA PRADESH,VIJAYAWADA CITY,2007,17,49,10,131,202,531,0
197,ANDHRA PRADESH,VIJAYAWADA RLY.,2007,0,0,0,4,1,1,0
198,ANDHRA PRADESH,VISAKHA RURAL,2007,12,11,7,57,24,167,0
199,ANDHRA PRADESH,VISAKHAPATNAM,2007,24,23,14,100,25,535,0
200,ANDHRA PRADESH,VIZIANAGARAM,2007,10,20,3,90,46,270,0
201,ANDHRA PRADESH,WARANGAL,2007,57,109,56,279,50,608,0
202,ANDHRA PRADESH,WEST GODAVARI,2007,52,80,22,309,155,573,0
203,ANDHRA PRADESH,ADILABAD,2008,50,26,5,174,103,355,0
204,ANDHRA PRADESH,ANANTAPUR,2008,37,36,12,133,132,0,0
205,ANDHRA PRADESH,CHITTOOR,2008,30,57,26,104,250,288,0
206,ANDHRA PRADESH,CUDDAPAH,2008,27,64,11,212,37,267,0
207,ANDHRA PRADESH,CYBERABAD,2008,80,101,59,130,833,884,0
208,ANDHRA PRADESH,EAST GODAVARI,2008,48,13,23,194,131,563,0
209,ANDHRA PRADESH,GUNTAKAL RLY.,2008,0,0,0,3,1,2,0
210,ANDHRA PRADESH,GUNTUR,2008,48,65,26,306,99,496,0
211,ANDHRA PRADESH,HYDERABAD CITY,2008,62,77,41,231,148,1184,0
212,ANDHRA PRADESH,KARIMNAGAR,2008,84,148,48,310,273,596,0
213,ANDHRA PRADESH,KHAMMAM,2008,70,83,26,213,24,329,0
214,ANDHRA PRADESH,KRISHNA,2008,38,52,12,254,93,379,0
215,ANDHRA PRADESH,KURNOOL,2008,47,72,17,419,232,227,0
216,ANDHRA PRADESH,MAHABOOBNAGAR,2008,72,87,35,162,38,231,0
217,ANDHRA PRADESH,MEDAK,2008,50,44,35,114,61,332,0
218,ANDHRA PRADESH,NALGONDA,2008,90,76,32,243,155,353,0
219,ANDHRA PRADESH,NELLORE,2008,39,73,6,184,130,333,0
220,ANDHRA PRADESH,NIZAMABAD,2008,31,25,16,70,85,305,0
221,ANDHRA PRADESH,PRAKASHAM,2008,30,53,5,192,38,229,0
222,ANDHRA PRADESH,RANGA REDDY,2008,37,13,19,39,25,120,0
223,ANDHRA PRADESH,SECUNDERABAD RLY.,2008,2,0,0,1,0,0,0
224,ANDHRA PRADESH,SRIKAKULAM,2008,32,14,6,92,72,314,0
225,ANDHRA PRADESH,VIJAYAWADA CITY,2008,30,36,9,104,252,395,0
226,ANDHRA PRADESH,VIJAYAWADA RLY.,2008,0,0,0,1,1,0,0
227,ANDHRA PRADESH,VISAKHA RURAL,2008,12,9,10,79,40,168,0
228,ANDHRA PRADESH,VISAKHAPATNAM,2008,29,26,13,87,2,488,0
229,ANDHRA PRADESH,VIZIANAGARAM,2008,6,14,3,88,60,253,0
230,ANDHRA PRADESH,WARANGAL,2008,59,62,36,223,54,519,0
231,ANDHRA PRADESH,WEST GODAVARI,2008,117,70,25,368,182,696,0
232,ANDHRA PRADESH,ADILABAD,2009,67,56,13,192,163,428,0
233,ANDHRA PRADESH,ANANTAPUR,2009,22,60,14,157,13,143,0
234,ANDHRA PRADESH,CHITTOOR,2009,33,46,19,120,268,333,0
235,ANDHRA PRADESH,CUDDAPAH,2009,27,47,17,165,52,124,0
236,ANDHRA PRADESH,CYBERABAD,2009,82,113,46,173,155,991,0
237,ANDHRA PRADESH,EAST GODAVARI,2009,47,60,23,196,178,440,0
238,ANDHRA PRADESH,GUNTAKAL RLY.,2009,0,0,0,3,1,0,0
239,ANDHRA PRADESH,GUNTUR,2009,40,62,26,340,451,720,0
240,ANDHRA PRADESH,HYDERABAD CITY,2009,47,55,36,295,63,1363,0
241,ANDHRA PRADESH,KARIMNAGAR,2009,48,106,40,292,234,635,0
242,ANDHRA PRADESH,KHAMMAM,2009,98,96,18,205,152,519,0
243,ANDHRA PRADESH,KRISHNA,2009,43,35,14,297,130,402,0
244,ANDHRA PRADESH,KURNOOL,2009,31,73,17,398,365,239,0
245,ANDHRA PRADESH,MAHABOOBNAGAR,2009,74,101,24,215,75,299,0
246,ANDHRA PRADESH,MEDAK,2009,46,51,27,118,58,368,0
247,ANDHRA PRADESH,NALGONDA,2009,77,75,41,254,205,364,0
248,ANDHRA PRADESH,NELLORE,2009,32,48,3,287,128,305,0
249,ANDHRA PRADESH,NIZAMABAD,2009,27,41,19,79,75,518,0
250,ANDHRA PRADESH,PRAKASHAM,2009,27,44,14,197,51,248,0
251,ANDHRA PRADESH,RANGA REDDY,2009,26,20,20,44,25,108,0
252,ANDHRA PRADESH,SECUNDERABAD RLY.,2009,0,0,0,3,0,0,0
253,ANDHRA PRADESH,SRIKAKULAM,2009,21,20,6,67,44,211,0
254,ANDHRA PRADESH,VIJAYAWADA CITY,2009,23,53,17,177,198,433,0
255,ANDHRA PRADESH,VIJAYAWADA RLY.,2009,0,0,0,0,0,0,0
256,ANDHRA PRADESH,VISAKHA RURAL,2009,14,7,8,57,56,167,0
257,ANDHRA PRADESH,VISAKHAPATNAM,2009,39,26,13,95,54,481,0
258,ANDHRA PRADESH,VIZIANAGARAM,2009,13,12,8,103,105,297,0
259,ANDHRA PRADESH,WARANGAL,2009,70,130,49,234,25,432,0
260,ANDHRA PRADESH,WEST GODAVARI,2009,114,89,14,384,196,729,0
261,ANDHRA PRADESH,ADILABAD,2010,48,48,18,133,155,429,0
262,ANDHRA PRADESH,ANANTAPUR,2010,20,60,20,132,35,250,0
263,ANDHRA PRADESH,CHITTOOR,2010,44,56,32,136,121,388,0
264,ANDHRA PRADESH,CUDDAPAH,2010,39,51,15,137,45,321,0
265,ANDHRA PRADESH,CYBERABAD,2010,95,72,43,157,1257,1191,0
266,ANDHRA PRADESH,EAST GODAVARI,2010,66,30,20,193,188,246,0
267,ANDHRA PRADESH,GUNTAKAL RLY.,2010,0,2,0,2,2,0,0
268,ANDHRA PRADESH,GUNTUR,2010,38,39,20,282,409,456,0
269,ANDHRA PRADESH,GUNTUR URBAN,2010,12,5,13,48,54,245,0
270,ANDHRA PRADESH,HYDERABAD CITY,2010,45,41,44,171,60,1420,0
271,ANDHRA PRADESH,KARIMNAGAR,2010,65,128,39,237,241,636,0
272,ANDHRA PRADESH,KHAMMAM,2010,62,66,17,147,129,354,0
273,ANDHRA PRADESH,KRISHNA,2010,54,67,22,300,149,412,0
274,ANDHRA PRADESH,KURNOOL,2010,49,67,19,347,268,501,0
275,ANDHRA PRADESH,MAHABOOBNAGAR,2010,89,78,34,174,78,233,0
276,ANDHRA PRADESH,MEDAK,2010,49,68,29,103,95,316,0
277,ANDHRA PRADESH,NALGONDA,2010,68,81,32,195,192,218,0
278,ANDHRA PRADESH,NELLORE,2010,28,74,6,176,119,382,0
279,ANDHRA PRADESH,NIZAMABAD,2010,62,50,21,114,75,626,0
280,ANDHRA PRADESH,PRAKASHAM,2010,29,65,13,253,32,216,0
281,ANDHRA PRADESH,RAJAHMUNDRY,2010,10,12,4,47,39,96,0
282,ANDHRA PRADESH,RANGA REDDY,2010,19,19,19,39,26,75,0
283,ANDHRA PRADESH,SECUNDERABAD RLY.,2010,1,1,0,2,2,0,0
284,ANDHRA PRADESH,SRIKAKULAM,2010,35,31,5,93,92,233,0
285,ANDHRA PRADESH,TIRUPATHI URBAN,2010,10,15,5,38,25,85,0
286,ANDHRA PRADESH,VIJAYAWADA CITY,2010,25,65,17,172,219,626,0
287,ANDHRA PRADESH,VIJAYAWADA RLY.,2010,1,0,3,6,0,4,0
288,ANDHRA PRADESH,VISAKHA RURAL,2010,42,12,8,92,52,222,0
289,ANDHRA PRADESH,VISAKHAPATNAM,2010,53,24,11,59,52,393,0
290,ANDHRA PRADESH,VIZIANAGARAM,2010,32,15,14,101,85,312,0
291,ANDHRA PRADESH,WARANGAL,2010,28,39,7,98,10,50,0
292,ANDHRA PRADESH,WARANGAL URBAN,2010,17,28,12,50,25,412,0
293,ANDHRA PRADESH,WEST GODAVARI,2010,127,122,26,400,231,732,0
294,ANDHRA PRADESH,ADILABAD,2011,84,70,20,112,142,429,0
295,ANDHRA PRADESH,ANANTAPUR,2011,16,83,36,156,16,198,0
296,ANDHRA PRADESH,CHITTOOR,2011,17,47,25,124,168,421,0
297,ANDHRA PRADESH,CUDDAPAH,2011,41,65,15,144,17,122,0
298,ANDHRA PRADESH,CYBERABAD,2011,89,90,51,158,234,1411,0
299,ANDHRA PRADESH,EAST GODAVARI,2011,72,51,17,176,224,575,0
300,ANDHRA PRADESH,GUNTAKAL RLY.,2011,0,0,0,0,3,1,0
301,ANDHRA PRADESH,GUNTUR,2011,40,57,8,223,140,494,0
302,ANDHRA PRADESH,GUNTUR URBAN,2011,33,28,6,86,111,395,0
303,ANDHRA PRADESH,HYDERABAD CITY,2011,59,39,37,157,93,1355,0
304,ANDHRA PRADESH,KARIMNAGAR,2011,58,120,40,253,235,702,0
305,ANDHRA PRADESH,KHAMMAM,2011,84,73,20,243,140,519,0
306,ANDHRA PRADESH,KRISHNA,2011,80,75,15,348,292,733,0
307,ANDHRA PRADESH,KURNOOL,2011,39,58,20,340,222,424,0
308,ANDHRA PRADESH,MAHABOOBNAGAR,2011,88,69,28,162,66,259,0
309,ANDHRA PRADESH,MEDAK,2011,38,33,26,121,50,384,0
310,ANDHRA PRADESH,NALGONDA,2011,48,51,36,229,150,255,0
311,ANDHRA PRADESH,NELLORE,2011,28,81,7,166,119,187,0
312,ANDHRA PRADESH,NIZAMABAD,2011,63,51,27,98,100,569,0
313,ANDHRA PRADESH,PRAKASHAM,2011,24,81,11,243,56,266,0
314,ANDHRA PRADESH,RAJAHMUNDRY,2011,15,28,3,44,34,189,0
315,ANDHRA PRADESH,RANGA REDDY,2011,24,20,15,50,2,89,0
316,ANDHRA PRADESH,SECUNDERABAD RLY.,2011,0,1,1,5,1,2,0
317,ANDHRA PRADESH,SRIKAKULAM,2011,29,23,8,91,83,333,0
318,ANDHRA PRADESH,TIRUPATHI URBAN,2011,10,1,5,40,7,112,0
319,ANDHRA PRADESH,VIJAYAWADA CITY,2011,37,50,17,248,355,1066,0
320,ANDHRA PRADESH,VIJAYAWADA RLY.,2011,1,2,1,3,2,1,0
321,ANDHRA PRADESH,VISAKHA RURAL,2011,38,30,8,120,128,203,0
322,ANDHRA PRADESH,VISAKHAPATNAM,2011,57,48,12,31,50,386,0
323,ANDHRA PRADESH,VIZIANAGARAM,2011,50,20,5,79,99,384,0
324,ANDHRA PRADESH,WARANGAL,2011,48,62,26,157,27,89,0
325,ANDHRA PRADESH,WARANGAL URBAN,2011,35,15,26,78,54,63,0
326,ANDHRA PRADESH,WEST GODAVARI,2011,97,90,27,364,238,760,0
327,ANDHRA PRADESH,ADILABAD,2012,88,61,7,90,155,498,0
328,ANDHRA PRADESH,ANANTAPUR,2012,18,63,19,195,8,130,0
329,ANDHRA PRADESH,CHITTOOR,2012,28,49,33,90,269,339,0
330,ANDHRA PRADESH,CUDDAPAH,2012,26,44,13,217,37,120,0
331,ANDHRA PRADESH,CYBERABAD,2012,75,102,45,183,282,976,0
332,ANDHRA PRADESH,EAST GODAVARI,2012,71,40,17,248,160,536,0
333,ANDHRA PRADESH,GUNTAKAL RLY.,2012,1,0,1,1,1,2,0
334,ANDHRA PRADESH,GUNTUR,2012,23,53,21,252,83,656,0
335,ANDHRA PRADESH,GUNTUR URBAN,2012,24,32,9,84,83,687,0
336,ANDHRA PRADESH,HYDERABAD CITY,2012,74,31,23,145,141,1339,0
337,ANDHRA PRADESH,KARIMNAGAR,2012,40,98,46,224,232,759,0
338,ANDHRA PRADESH,KHAMMAM,2012,78,62,13,233,172,231,0
339,ANDHRA PRADESH,KRISHNA,2012,67,55,16,341,309,791,0
340,ANDHRA PRADESH,KURNOOL,2012,22,46,15,331,75,166,0
341,ANDHRA PRADESH,MAHABOOBNAGAR,2012,56,70,27,154,45,204,0
342,ANDHRA PRADESH,MEDAK,2012,26,45,20,112,55,475,0
343,ANDHRA PRADESH,NALGONDA,2012,52,79,20,246,264,302,0
344,ANDHRA PRADESH,NELLORE,2012,23,72,9,210,142,405,0
345,ANDHRA PRADESH,NIZAMABAD,2012,35,23,19,100,102,596,0
346,ANDHRA PRADESH,PRAKASHAM,2012,37,69,16,213,47,263,0
